facet	value	count
annotation_class	GO:0005634	186221
annotation_class	GO:0005737	177032
annotation_class	GO:0005886	130790
annotation_class	GO:0005829	69753
annotation_class	GO:0016020	56612
annotation_class	GO:0006357	46848
annotation_class	GO:0005739	39471
annotation_class	GO:0000981	35410
annotation_class	GO:0000978	31644
annotation_class	GO:0005615	29941
annotation_class	GO:0004674	28291
annotation_class	GO:0003723	27599
annotation_class	GO:0003729	24094
annotation_class	GO:0007165	22723
annotation_class	GO:0003735	22248
annotation_class	GO:0005783	21751
annotation_class	GO:0006355	20991
annotation_class	GO:0005794	20936
annotation_class	GO:0061630	17549
annotation_class	GO:0003700	17156
annotation_class	GO:0005789	15982
annotation_class	GO:0055085	15220
annotation_class	GO:0003924	15119
annotation_class	GO:0005730	14306
annotation_class	GO:0022857	13244
annotation_class	GO:0016567	11841
annotation_class	GO:0043161	11563
annotation_class	GO:0035556	11369
annotation_class	GO:0022625	10959
annotation_class	GO:0004984	10640
annotation_class	GO:0043231	10384
annotation_class	GO:0005525	10049
annotation_class	GO:0006457	9826
annotation_class	GO:0006511	9799
annotation_class	GO:0016491	9798
annotation_class	GO:0016887	9753
annotation_class	GO:0045944	9676
annotation_class	GO:0009507	9612
annotation_class	GO:0000976	9549
annotation_class	GO:0004672	9332
annotation_class	GO:0000785	9237
annotation_class	GO:0003677	9206
annotation_class	GO:0006886	9157
annotation_class	GO:0043565	8705
annotation_class	GO:0000398	8671
annotation_class	GO:0003682	8502
annotation_class	GO:0051015	8469
annotation_class	GO:0008017	8242
annotation_class	GO:0000139	7575
annotation_class	GO:0006508	7433
annotation_class	GO:0007186	7418
annotation_class	GO:0005509	7209
annotation_class	GO:0012505	7174
annotation_class	GO:0051082	7173
annotation_class	GO:0005654	7059
annotation_class	GO:0006955	6738
annotation_class	GO:0030154	6693
annotation_class	GO:0016192	6636
annotation_class	GO:0005096	6509
annotation_class	GO:0006888	6468
annotation_class	GO:0022627	6316
annotation_class	GO:0042626	6018
annotation_class	GO:0006412	5994
annotation_class	GO:0000977	5895
annotation_class	GO:0004930	5754
annotation_class	GO:0005768	5680
annotation_class	GO:0009505	5646
annotation_class	GO:0009897	5568
